source	time	heading	story	url
Tribal Football	1549881540	REVEALED: Messi was Barcelona's WORST performer for Athletic Bilbao draw	Barcelona star Leo Messi endured one of the worst performances of his career for yesterday's 0-0 draw at Athletic Bilbao.Messi's stats were the WORST of.	https://news.google.com/articles/CAIiEFUbcirTYKoYqJ4qT9nNHzAqGQgEKhAIACoHCAow2Z3dCjCbwdABMP7dngE?hl=en-IN&gl=IN&ceid=IN%3Aen
Tribal Football	1549885860	Liverpool midfielder Wijnaldum: Why can't we win the double?	Gigi Wijnaldum is confident Liverpool can win the Premier League and Champions League titles this season.Man City's win over Chelsea yesterday means the ...	https://news.google.com/articles/CAIiEP8Hz0lAC2eJECbhPMIcNDEqGQgEKhAIACoHCAow2Z3dCjCbwdABMP7dngE?hl=en-IN&gl=IN&ceid=IN%3Aen
Tribal Football	1549881900	Seedorf: Real Madrid remain Champions League favourites	Real Madrid hero Clarence Seedorf says his old club remain favourites to win the Champions League this season.Real will face another of Seedorf's former clu.	https://news.google.com/articles/CAIiENi5_Jsr8-YW10e35o35qpYqGQgEKhAIACoHCAow2Z3dCjCbwdABMP7dngE?hl=en-IN&gl=IN&ceid=IN%3Aen
The Hindu	1549735891	Fun outing for tribal students	Programme aims to enhance confidence of children.	https://news.google.com/articles/CBMiXWh0dHBzOi8vd3d3LnRoZWhpbmR1LmNvbS9uZXdzL2NpdGllcy9Lb2NoaS9mdW4tb3V0aW5nLWZvci10cmliYWwtc3R1ZGVudHMvYXJ0aWNsZTI2MjI2NzI1LmVjZdIBqwFodHRwczovL3d3dy10aGVoaW5kdS1jb20uY2RuLmFtcHByb2plY3Qub3JnL3Yvcy93d3cudGhlaGluZHUuY29tL25ld3MvY2l0aWVzL0tvY2hpL2Z1bi1vdXRpbmctZm9yLXRyaWJhbC1zdHVkZW50cy9hcnRpY2xlMjYyMjY3MjUuZWNlL2FtcC8_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU?hl=en-IN&gl=IN&ceid=IN%3Aen
Tribal Football	1549885620	Blanc reveals he rejected Man Utd after Moyes sacking	Laurent Blanc has revealed Manchester United approached him to takeover from David Moyes in 2014.The Frenchman was in charge of PSG at the time and the ...	https://news.google.com/articles/CAIiEPvca9z16KvuWa08-v9aJuUqGQgEKhAIACoHCAow2Z3dCjCbwdABMP7dngE?hl=en-IN&gl=IN&ceid=IN%3Aen
Tribal Football	1549866360	Schmeichel considering future at Leicester, hints father	Kasper Schmeichel is considering his future at Leicester City.Foxes are desperate to keep keeper Schmeichel Jr, 32 — who joined the club in 2011 and helped ...	https://news.google.com/articles/CAIiEO1ratmsqtwIpllyleJpFPEqGQgEKhAIACoHCAow2Z3dCjCbwdABMIjfigI?hl=en-IN&gl=IN&ceid=IN%3Aen
Tribal Football	1549882020	AC Milan coach Gattuso: Donnarumma no longer a kid	AC Milan coach Rino Gattuso has hailed the progress this season of Gigio Donnarumma.The young goalkeeper produced a clean sheet for Sunday's 3-0 win ...	https://news.google.com/articles/CAIiEEQHmBOWevWB6YaSF3RIQDMqGQgEKhAIACoHCAow2Z3dCjCbwdABMP7dngE?hl=en-IN&gl=IN&ceid=IN%3Aen
Tribal Football	1549866300	in 6 hours Chelsea pursue swap deal with AC Milan for Bakayoko	Chelsea are eager to setup a swap deal with AC Milan for Tiemoue Bakayoko.Milan are considering making Bakayoko's loan deal permanent at the end of the ...	https://news.google.com/articles/CAIiEGgGaf4VrsK_4SVHtXtX3rsqGQgEKhAIACoHCAow2Z3dCjCbwdABMLjfigI?hl=en-IN&gl=IN&ceid=IN%3Aen
Illawarra Mercury	1549767960	All the photos from Tribal Clash Australia at North Wollongong Beach	Wollongong hosted a fitness event dubbed “the toughest team competition in the world” at the weekend. The Tribal Clash Australia team fitness event took place.	https://news.google.com/articles/CBMieWh0dHBzOi8vd3d3LmlsbGF3YXJyYW1lcmN1cnkuY29tLmF1L3N0b3J5LzU4OTYzNzYvaHVuZHJlZHMtb2YtYXRobGV0ZXMtYmF0dGxlLWl0LW91dC1pbi10cmliYWwtY2xhc2gtYXQtbm9ydGgtZ29uZy1iZWFjaC_SAQA?hl=en-IN&gl=IN&ceid=IN%3Aen
ARY NEWS	1549895340	Senate body briefed on admission quota for tribal students	The Senate's Standing Committee on States and Frontier Regions (SAFRON) was given a briefing on Monday regarding admission quota system.	https://news.google.com/articles/CAIiEJvrSTjOwgyHiVS0Jvw4to4qGQgEKhAIACoHCAowqYv-CjDFiooDMNS32QU?hl=en-IN&gl=IN&ceid=IN%3Aen
