source	time	heading	story	url
Pitchfork	1549831680	Grammys 2019: Beck Wins Best Alternative Music Album	Beck has won Best Alternative Music Album at the 61st Grammy Awards. His 2017 studio album Colors beat out records by Arctic Monkeys (Tranquility Base ...	https://news.google.com/articles/CBMiT2h0dHBzOi8vcGl0Y2hmb3JrLmNvbS9uZXdzL2dyYW1teXMtMjAxOS1iZWNrLXdpbnMtYmVzdC1hbHRlcm5hdGl2ZS1tdXNpYy1hbGJ1bS_SAZkBaHR0cHM6Ly9waXRjaGZvcmstY29tLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3MvcGl0Y2hmb3JrLmNvbS9uZXdzL2dyYW1teXMtMjAxOS1iZWNrLXdpbnMtYmVzdC1hbHRlcm5hdGl2ZS1tdXNpYy1hbGJ1bS9hbXAvP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl?hl=en-IN&gl=IN&ceid=IN%3Aen
Complex	1549755782	G.O.O.D. Music Associate Malik Yusef Denies Kanye West Identity Theft	On Friday (Feb. 8), it was reported that a G.O.O.D. Music 'associate' had committed fraud using a forged Kanye West signature.	https://news.google.com/articles/CAIiEAGgYPcBC4tO1pSSoa-N4ZYqGQgEKhAIACoHCAowo-D4CjD9qd8CMP72sQU?hl=en-IN&gl=IN&ceid=IN%3Aen
The Independent	1549756800	When the boundaries melted away: why 1994 was music's finest year	There will be those who have just read the headline and already gone directly to the comments to take issue. For any waverers, I'll set out my stall again: 1994 ...	https://news.google.com/articles/CBMihQFodHRwczovL3d3dy5pbmRlcGVuZGVudC5jby51ay9uZXdzL2xvbmdfcmVhZHMvMTk5NC1tdXNpYy1yYXZlLWdydW5nZS1icml0cG9wLWhpcC1ob3AtcmFwLWdsYXN0b25idXJ5LW5pcnZhbmEtb2FzaXMtYmx1ci1hODc1MDQ5Ni5odG1s0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen
Buffalo News	1549714854	50 years later, East Side duo's groundbreaking music is getting its due	A new generation can discover Jesse Key & Sylvester Cleary, thanks to the release of an album, Love Is The Way.	https://news.google.com/articles/CBMiaWh0dHBzOi8vYnVmZmFsb25ld3MuY29tLzIwMTkvMDIvMDkvNTAteWVhcnMtbGF0ZXItZWFzdC1zaWRlLWR1b3MtZ3JvdW5kYnJlYWtpbmctbXVzaWMtaXMtZ2V0dGluZy1pdHMtZHVlL9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen
WRAL.com	1549885680	Durham therapist tames Parkinson's disease symptoms with music	A Durham therapist believes music can also help tame movement disorders like Parkinson's disease.	https://news.google.com/articles/CBMiXWh0dHBzOi8vd3d3LndyYWwuY29tL2R1cmhhbS10aGVyYXBpc3QtdGFtZXMtcGFya2luc29uLXMtZGlzZWFzZS1zeW1wdG9tcy13aXRoLW11c2ljLzE4MTg0MzY4L9IBrgFodHRwczovL3d3dy13cmFsLWNvbS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL3d3dy53cmFsLmNvbS9kdXJoYW0tdGhlcmFwaXN0LXRhbWVzLXBhcmtpbnNvbi1zLWRpc2Vhc2Utc3ltcHRvbXMtd2l0aC1tdXNpYy8xODE4NDM2OC8_dmVyc2lvbj1hbXAmYW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU?hl=en-IN&gl=IN&ceid=IN%3Aen
The Wall Street Journal	1549720800	Fortnite-Marshmello Mashup Showcases New Avenues for Games, Music	The videogame “Fornite” for 10 minutes put away its guns and transported players to a live virtual performance by Marshmello, in a pop-culture mashup that ...	https://news.google.com/articles/CAIiELaWwKO2SlZNx4_GSxxM6MgqGAgEKg8IACoHCAow1tzJATDnyxUwmK20AQ?hl=en-IN&gl=IN&ceid=IN%3Aen
The Times of Israel	1549832760	Forget Spotify and Apple Music – here comes Shiri!	The National Library of Israel enters the music business with a new app for Israeli songs.	https://news.google.com/articles/CBMiTmh0dHBzOi8vd3d3LnRpbWVzb2Zpc3JhZWwuY29tL2ZvcmdldC1zcG90aWZ5LWFuZC1hcHBsZS1tdXNpYy1oZXJlLWNvbWVzLXNoaXJpL9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen
Radio Times	1549796940	Peter Capaldi stars in moving music video for his distant relative, and fans love it	Lewis Capaldi only met the former Doctor Who star recently, but he's already got him involved in his latest project.	https://news.google.com/articles/CBMiggFodHRwczovL3d3dy5yYWRpb3RpbWVzLmNvbS9uZXdzL3R2LzIwMTktMDItMTAvcGV0ZXItY2FwYWxkaS1zdGFycy1pbi1tb3ZpbmctbXVzaWMtdmlkZW8tZm9yLWhpcy1kaXN0YW50LXJlbGF0aXZlLWFuZC1mYW5zLWxvdmUtaXQv0gHRAWh0dHBzOi8vd3d3LXJhZGlvdGltZXMtY29tLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3Mvd3d3LnJhZGlvdGltZXMuY29tL25ld3MvdHYvMjAxOS0wMi0xMC9wZXRlci1jYXBhbGRpLXN0YXJzLWluLW1vdmluZy1tdXNpYy12aWRlby1mb3ItaGlzLWRpc3RhbnQtcmVsYXRpdmUtYW5kLWZhbnMtbG92ZS1pdC9hbXAvP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl?hl=en-IN&gl=IN&ceid=IN%3Aen
CNBC	1549726213	Ariana Grande gave this gift to her '7 Rings' music video director — here's why it left her 'speechless'	Ariana Grande gave Hannah Lux Davis, the director of her hit videos '7 rings' and 'Thank You, Next,' a special gift that left her speechless. Here's the lesson it ...	https://news.google.com/articles/CAIiEKfh1SBBeumaPONg6ZeWZEQqGQgEKhAIACoHCAow2Nb3CjDivdcCMPLg7gU?hl=en-IN&gl=IN&ceid=IN%3Aen
Rolling Stone	1549574580	Justin Bieber on Music Hiatus: ‘I Was Real at First, Then I Was Manufactured’	When the world needed Biebervelli the most, he disappeared. Justin Bieber hasn't released a full-length album since 2015's Purpose and outside of a few ...	https://news.google.com/articles/CAIiEKZBgzgcYLknJmVQeGcyI2gqGQgEKhAIACoHCAow9MSGCzCKpYQDML-UuQM?hl=en-IN&gl=IN&ceid=IN%3Aen
