source	time	heading	story	url
Fortune	1548144000	Artificial Intelligence Is No Hoax, It's Just Over-Hyped	This article first appeared in Data Sheet, Fortune's daily newsletter on the top tech news. To get it delivered daily to your in-box, sign up here. The World ...	https://news.google.com/articles/CBMiQ2h0dHA6Ly9mb3J0dW5lLmNvbS8yMDE5LzAxLzIyL2FydGlmaWNpYWwtaW50ZWxsaWdlbmNlLWh5cGUtZnVuZGluZy_SAZUBaHR0cHM6Ly9hbXAtdGltZWluYy1uZXQuY2RuLmFtcHByb2plY3Qub3JnL3YvYW1wLnRpbWVpbmMubmV0L2ZvcnR1bmUvMjAxOS8wMS8yMi9hcnRpZmljaWFsLWludGVsbGlnZW5jZS1oeXBlLWZ1bmRpbmc_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU?hl=en-IN&gl=IN&ceid=IN%3Aen
Forbes	1547798400	The Incredible Ways Shell Uses Artificial Intelligence To Help Transform The Oil And Gas Giant	In this post we look at some of the innovative ways Royal Dutch Shell is using artificial intelligence to accelerate the digital transformation of the oil and gas giant.	https://news.google.com/articles/CAIiEASqsauBorH4qS3MHbWlbQsqFQgEKg0IACoGCAowrqkBMKBFMI_CEg?hl=en-IN&gl=IN&ceid=IN%3Aen
Fortune	1548144000	Artificial Intelligence: Separating the Hype from Reality	Like bees to honey, tech trends generate hype. Merely appending the word “dotcom” to a company's name drove up stock prices in the Internet's salad days.	https://news.google.com/articles/CBMiQWh0dHA6Ly9mb3J0dW5lLmNvbS8yMDE5LzAxLzIyL2FydGlmaWNpYWwtaW50ZWxsaWdlbmNlLWFpLXJlYWxpdHkv0gGTAWh0dHBzOi8vYW1wLXRpbWVpbmMtbmV0LmNkbi5hbXBwcm9qZWN0Lm9yZy92L2FtcC50aW1laW5jLm5ldC9mb3J0dW5lLzIwMTkvMDEvMjIvYXJ0aWZpY2lhbC1pbnRlbGxpZ2VuY2UtYWktcmVhbGl0eT9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ?hl=en-IN&gl=IN&ceid=IN%3Aen
insideBIGDATA	1549180800	Infographic: The Jobs Artificial Intelligence Will Take Over First	We're poised for the biggest transformation in the world's workforce since the industrial revolution, and it's all thanks to AI. Breakthroughs in technology mean ...	https://news.google.com/articles/CBMiZ2h0dHBzOi8vaW5zaWRlYmlnZGF0YS5jb20vMjAxOS8wMi8wMy9pbmZvZ3JhcGhpYy10aGUtam9icy1hcnRpZmljaWFsLWludGVsbGlnZW5jZS13aWxsLXRha2Utb3Zlci1maXJzdC_SAQA?hl=en-IN&gl=IN&ceid=IN%3Aen
The Star Online	1549526400	White House expects to take action on 5G, artificial intelligence soon - Tech News	"The White House will take ""executive action"" in the coming weeks to make sure the United States keeps its research and development advantage in artificial ..."	https://news.google.com/articles/CAIiEMtQbb38oXNKVN5sub2XO6UqGQgEKhAIACoHCAow-N7eCjC60NYBMKKsiAM?hl=en-IN&gl=IN&ceid=IN%3Aen
Aljazeera.com	1548921600	US, China lead race for artificial intelligence patents: UN	The UN said patents for AI-based inventions have exploded in recent years, with half in history filed since 2013.	https://news.google.com/articles/CBMia2h0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vbmV3cy8yMDE5LzAxL2NoaW5hLWxlYWQtcmFjZS1hcnRpZmljaWFsLWludGVsbGlnZW5jZS1wYXRlbnRzLTE5MDEzMTA4MDczMjU0OC5odG1s0gG5AWh0dHBzOi8vd3d3LWFsamF6ZWVyYS1jb20uY2RuLmFtcHByb2plY3Qub3JnL3Yvcy93d3cuYWxqYXplZXJhLmNvbS9hbXAvbmV3cy8yMDE5LzAxL2NoaW5hLWxlYWQtcmFjZS1hcnRpZmljaWFsLWludGVsbGlnZW5jZS1wYXRlbnRzLTE5MDEzMTA4MDczMjU0OC5odG1sP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl?hl=en-IN&gl=IN&ceid=IN%3Aen
News18	1549004040	Budget 2019: Government Announces National Artificial Intelligence Centre, National AI Portal	Goyal announced that a national centre for artificial intelligence is under consideration. Along with that a national AI portal will be developed soon.	https://news.google.com/articles/CBMiiQFodHRwczovL3d3dy5uZXdzMTguY29tL25ld3MvdGVjaC9idWRnZXQtMjAxOS1nb3Zlcm5tZW50LWFubm91bmNlcy1uYXRpb25hbC1hcnRpZmljaWFsLWludGVsbGlnZW5jZS1jZW50cmUtbmF0aW9uYWwtYWktcG9ydGFsLTIwMjE1NDkuaHRtbNIB1AFodHRwczovL3d3dy1uZXdzMTgtY29tLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3Mvd3d3Lm5ld3MxOC5jb20vYW1wL25ld3MvdGVjaC9idWRnZXQtMjAxOS1nb3Zlcm5tZW50LWFubm91bmNlcy1uYXRpb25hbC1hcnRpZmljaWFsLWludGVsbGlnZW5jZS1jZW50cmUtbmF0aW9uYWwtYWktcG9ydGFsLTIwMjE1NDkuaHRtbD9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ?hl=en-IN&gl=IN&ceid=IN%3Aen
Science Magazine	1548144000	This artificial intelligence teaches robots to walk—by creating custom obstacle courses	Before you run hurdles, you have to learn to crawl, and before you read William Shakespeare, you need to know the alphabet. Any educator knows the ...	https://news.google.com/articles/CBMic2h0dHA6Ly93d3cuc2NpZW5jZW1hZy5vcmcvbmV3cy8yMDE5LzAxL2FydGlmaWNpYWwtaW50ZWxsaWdlbmNlLXRlYWNoZXMtcm9ib3RzLXdhbGstY3JlYXRpbmctY3VzdG9tLW9ic3RhY2xlLWNvdXJzZXPSAQA?hl=en-IN&gl=IN&ceid=IN%3Aen
The Motley Fool	1549594080	3 Artificial Intelligence Stocks That Are Currently Cheap	Think stocks on the cutting edge of AI are expensive? Think again.	https://news.google.com/articles/CAIiELz3yuwfec5m9jkQ9jDbraMqEwgEKgwIACoFCAowgHkwoBEwwjU?hl=en-IN&gl=IN&ceid=IN%3Aen
The Verge	1549497600	China is worried an AI arms race could lead to accidental war	Experts and politicians in China are worried that a rush to integrate artificial intelligence into weapons and military equipment could accidentally lead to war ...	https://news.google.com/articles/CAIiEGBcxNLfBZdhpDkN6g2QPtUqFwgEKg4IACoGCAow3O8nMMqOBjCkztQD?hl=en-IN&gl=IN&ceid=IN%3Aen
Analytics India Magazine	1549368900	Amazon Is Using Artificial Intelligence To Implement Their New Sampling Strategy	Amazon is planning to do something more than just display favorite things on the screen. Its new strategy is to send free samples of products to consumers.	https://news.google.com/articles/CAIiEHHYVDmWrxC107tZSFNcPK0qGQgEKhAIACoHCAowiv6GCzDhmIUDMKKElgY?hl=en-IN&gl=IN&ceid=IN%3Aen
SciTech Europa	1547798400	Opacity, neutrality, stupidity: Challenges for Artificial Intelligence algorithms	Professor Pelillo of the European Centre for Living Technology, discusses the major socio-ethical challenges for Artificial Intelligence algorithms.	https://news.google.com/articles/CBMiRmh0dHBzOi8vd3d3LnNjaXRlY2hldXJvcGEuZXUvYXJ0aWZpY2lhbC1pbnRlbGxpZ2VuY2UtYWxnb3JpdGhtcy85MjMyNC_SAQA?hl=en-IN&gl=IN&ceid=IN%3Aen
Seattle Times	1549654800	What does the Seattle man who invented Pictionary think about its artificial-intelligence use?	Iconary, which pairs humans and software in a drawing-and-guessing game from the Allen Institute for Artificial Intelligence, was inspired by Pictionary, invented ...	https://news.google.com/articles/CBMijwFodHRwczovL3d3dy5zZWF0dGxldGltZXMuY29tL2J1c2luZXNzL3RlY2hub2xvZ3kvd2hhdC1kb2VzLXRoZS1zZWF0dGxlLW1hbi13aG8taW52ZW50ZWQtcGljdGlvbmFyeS10aGluay1hYm91dC1pdHMtYXJ0aWZpY2lhbC1pbnRlbGxpZ2VuY2UtdXNlL9IB4gFodHRwczovL3d3dy1zZWF0dGxldGltZXMtY29tLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3Mvd3d3LnNlYXR0bGV0aW1lcy5jb20vYnVzaW5lc3MvdGVjaG5vbG9neS93aGF0LWRvZXMtdGhlLXNlYXR0bGUtbWFuLXdoby1pbnZlbnRlZC1waWN0aW9uYXJ5LXRoaW5rLWFib3V0LWl0cy1hcnRpZmljaWFsLWludGVsbGlnZW5jZS11c2UvP2FtcD0xJmFtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl?hl=en-IN&gl=IN&ceid=IN%3Aen
Forbes	1547625600	13 Industries Soon To Be Revolutionized By Artificial Intelligence	Experts from Forbes Technology Council offer their predictions on which industries are about to be revolutionized by artificial intelligence (AI).	https://news.google.com/articles/CAIiEACms7JwMSQ5ZiuRg7tlVmcqFQgEKg0IACoGCAowrqkBMKBFMMGBAg?hl=en-IN&gl=IN&ceid=IN%3Aen
CIOL	1549868679	Avalara Acquires Artificial Intelligence Technology and Expertise from Indix	We believe the combination of deep product knowledge, broad product *content*, and artificial intelligence technology will allow us to provide our customers.	https://news.google.com/articles/CBMiWWh0dHBzOi8vd3d3LmNpb2wuY29tL2F2YWxhcmEtYWNxdWlyZXMtYXJ0aWZpY2lhbC1pbnRlbGxpZ2VuY2UtdGVjaG5vbG9neS1leHBlcnRpc2UtaW5kaXgv0gGiAWh0dHBzOi8vd3d3LWNpb2wtY29tLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3Mvd3d3LmNpb2wuY29tL2F2YWxhcmEtYWNxdWlyZXMtYXJ0aWZpY2lhbC1pbnRlbGxpZ2VuY2UtdGVjaG5vbG9neS1leHBlcnRpc2UtaW5kaXgvYW1wLz9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ?hl=en-IN&gl=IN&ceid=IN%3Aen
Futurism	1549644721	A Japanese City Is Using AI to Prevent Youth Suicides	A school in Japan is using an artificial intelligence to stop school bullying before it escalates to the point of seriousness.	https://news.google.com/articles/CBMiRWh0dHBzOi8vZnV0dXJpc20uY29tL3RoZS1ieXRlL3NjaG9vbC1idWxseWluZy1hcnRpZmljaWFsLWludGVsbGlnZW5jZdIBhQFodHRwczovL2Z1dHVyaXNtLWNvbS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL2Z1dHVyaXNtLmNvbS9zY2hvb2wtYnVsbHlpbmctYXJ0aWZpY2lhbC1pbnRlbGxpZ2VuY2UvYW1wP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl?hl=en-IN&gl=IN&ceid=IN%3Aen
Science Daily	1548835200	Most people overlook artificial intelligence despite flawless advice	A team of researchers recently discovered that most people overlook artificial intelligence despite flawless advice. AI-like systems will be an integral part of the ...	https://news.google.com/articles/CBMiPmh0dHBzOi8vd3d3LnNjaWVuY2VkYWlseS5jb20vcmVsZWFzZXMvMjAxOS8wMS8xOTAxMzAxNjE2NDkuaHRt0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen
